City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Ust-Maya,RU,60.4167,134.5333,-16.47,96,100,6.46,overcast clouds
241,Svetlyy,RU,54.675,20.1347,44.65,90,48,7.45,scattered clouds
242,Lerik,AZ,38.7726,48.4128,40.64,84,59,1.07,light rain
243,Nikolskoye,RU,59.7035,30.7861,33.8,98,100,5.66,light snow
244,Bubaque,GW,11.2833,-15.8333,83.53,70,70,13.67,broken clouds
245,Wajir,KE,1.7471,40.0573,78.85,72,41,15.59,scattered clouds
246,Anloga,GH,5.7947,0.8973,81.5,77,15,11.07,few clouds
247,Qasigiannguit,GL,68.8193,-51.1922,28.65,90,95,9.01,overcast clouds
248,Energetik,RU,51.7445,58.7934,26.13,80,100,16.22,overcast clouds
249,Norman Wells,CA,65.282,-126.8329,26.69,97,100,5.01,light snow
250,Kirakira,SB,-10.4544,161.9205,85.06,67,40,4.9,scattered clouds
251,Mashhad,IR,36.297,59.6062,42.94,61,0,0.0,clear sky
252,Luderitz,NA,-26.6481,15.1594,59.67,95,2,8.32,clear sky
253,Borzya,RU,50.3833,116.5167,5.02,94,40,3.49,scattered clouds
254,Caxito,AO,-8.5785,13.6643,73.74,80,40,2.98,scattered clouds
255,Umm Kaddadah,SD,13.6017,26.6876,68.81,21,0,12.35,clear sky
256,Fairbanks,US,64.8378,-147.7164,28.6,91,100,5.75,light snow
257,Lagoa,PT,39.05,-27.9833,62.62,77,42,14.76,scattered clouds
258,Takoradi,GH,4.8845,-1.7554,78.66,85,100,8.93,light rain
259,Stuttgart,DE,48.7823,9.177,52.02,92,0,1.14,clear sky
260,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,60.71,95,85,12.26,overcast clouds
261,Taoudenni,ML,22.6783,-3.9836,78.85,14,100,11.52,overcast clouds
262,Tiznit,MA,29.5833,-9.5,68.76,24,28,5.06,scattered clouds
263,Kihei,US,20.785,-156.4656,86.02,65,40,20.71,scattered clouds
264,Qeshm,IR,26.9581,56.2719,78.67,65,0,8.32,clear sky
265,Alta Floresta,BR,-9.8756,-56.0861,71.47,94,90,7.7,overcast clouds
266,Boshnyakovo,RU,49.6333,142.1667,24.22,74,97,4.47,overcast clouds
267,Thompson,CA,55.7435,-97.8558,8.98,97,71,3.2,broken clouds
268,Abu Samrah,SY,35.3029,37.1841,62.26,56,9,4.34,clear sky
269,Yinchuan,CN,38.4681,106.2731,38.34,33,0,2.71,clear sky
270,Gurupa,BR,-1.405,-51.64,79.38,78,47,5.44,scattered clouds
271,Pafos,CY,34.7667,32.4167,56.98,54,0,9.22,clear sky
272,Honiara,SB,-9.4333,159.95,84.72,71,55,3.71,broken clouds
273,Toora-Khem,RU,52.4675,96.11,13.91,92,98,2.3,overcast clouds
